transaction_id,sender_name,receiver_name,amount,timestamp,payment_method,location
TXN_000028,Brandon Crawford,Samantha Edwards,294356.26,2025-07-19 08:39:52,Card,Robertfort
TXN_000029,Emily Marquez,Steven Gutierrez,303447.0,2025-07-13 02:15:17,UPI,Andersonfurt
TXN_000030,Ana Lindsey,Bryan Perez,61649.14,2025-07-19 01:04:16,UPI,Heatherhaven
TXN_000031,Frances Dunn,Shelby Brown,399655.99,2025-07-16 05:10:29,Wallet,Port Coreymouth
TXN_000032,Jeffery Palmer,Jamie Gilbert,178898.74,2025-08-01 04:30:31,Net Banking,West Toni
TXN_000033,Anthony Miller,Paul Mccullough,245674.58,2025-07-28 05:09:32,UPI,East Justinfurt
TXN_000034,Megan Henderson,Christopher Sanchez,165922.17,2025-07-26 08:16:41,Wallet,Petersonmouth
TXN_000035,Mv Atam Burgess,Christopher Phelps,470543.55,2025-08-02 04:39:52,Wallet,East Michael
TXN_000036,Larry Garrison,Patricia Craig,386245.81,2025-07-31 07:31:01,Net Banking,Josephhaven
TXN_000037,Sean Abbott,James Collier,1363.66,2025-07-20 15:43:41,Card,Lake Jason
TXN_000038,Austin Anderson,Javier Lopez,195565.57,2025-07-24 09:13:53,Net Banking,North Kimberlyton
TXN_000039,Michael Carter,Brian Juarez,262673.58,2025-07-08 18:47:14,Net Banking,Vaughnside
TXN_000040,Carlos Duncan,Edward Tran,198427.49,2025-07-15 06:19:32,UPI,New Emily
TXN_000041,Natalie Fowler,Lisa Miller,94302.02,2025-07-08 22:44:26,Net Banking,East Bridgetshire
TXN_000042,Shannon Moran,Christina Sanchez,298684.7,2025-07-29 16:50:57,Net Banking,East Jenniferstad
TXN_000043,Brittany Williams,Matthew Williams,295371.56,2025-07-25 04:41:54,Wallet,Lake Ariel
TXN_000044,Matthew Reynolds,Daniel Young,116324.88,2025-07-13 13:20:45,UPI,Lydiaport
TXN_000045,MV Daniel Kelley,Ashley Alvarado,147496.52,2025-07-07 16:01:50,Net Banking,North Jesseland
TXN_000046,Lisa Bennett,Vincent Miller,253593.07,2025-07-15 21:04:14,Wallet,Lake Rebecca
TXN_000047,Travis Ltd 261,Ashley Salazar,446310.16,2025-07-18 07:39:30,UPI,Boyerfurt
TXN_000048,Stephanie Morris,Gregory Bailey,64784.71,2025-07-24 18:15:31,Card,East David
TXN_000049,Amanda Garner,Dylan Smith,250541.96,2025-07-24 07:10:17,Net Banking,Markburgh
TXN_000050,Lindsay Murray,Ann Fleming,25166.9,2025-07-08 13:32:24,Wallet,Jeremyberg
TXN_000051,Maria Reed,Jeffrey Hale,308016.75,2025-08-04 19:52:21,Wallet,Anaton
TXN_000052,Lawrence Skinner,Tracy Jackson,117422.72,2025-07-11 13:14:00,Card,Port Zacharychester
TXN_000053,Amber Logan,Linda Moody,336973.87,2025-07-09 21:23:17,Card,East Jessicastad
TXN_000054,Alyssa Clarke,Nicholas Thompson,24219.73,2025-08-06 13:53:40,Net Banking,Mooreville
TXN_000055,David Hart,Larry Sullivan,102802.68,2025-07-09 06:40:02,Wallet,North Thomas
TXN_000056,John Rasmussen,Stephanie Roth,112852.56,2025-08-06 00:03:16,Wallet,New Jeremy
TXN_000057,Cynthia Cox,Christian Wu,350697.24,2025-07-21 15:52:14,UPI,Lake Gregory
TXN_000058,MV Patricia Lawrence,Tara Sharp,339602.16,2025-07-11 00:51:05,Net Banking,Millertown
TXN_000059,Danielle May,Anthony Copeland,277004.95,2025-07-15 04:15:26,Wallet,Annetteview
TXN_000060,Steven Brooks,Todd Payne,154928.4,2025-07-27 20:01:25,Net Banking,Christophershire
TXN_000061,Judith Wright,Ashley Wilkinson MD,466620.66,2025-08-04 13:56:28,Net Banking,Hannahhaven
TXN_000062,James Robinson,Aaron Beasley,499874.5,2025-07-25 06:28:28,Card,Michaelshire
TXN_000063,Samantha Walker,Tammy Lawson,386583.94,2025-07-11 12:23:51,Card,Lake Karen
TXN_000064,Heather Allen,Adrienne Smith,174882.03,2025-07-22 18:20:44,Net Banking,Ambermouth
TXN_000065,Cameron Santos,Kathleen Best,432673.35,2025-07-09 06:43:28,Net Banking,Houstonview
TXN_000066,Megan Marshall,Kim Gallagher,396992.3,2025-08-03 07:26:29,Wallet,West Alecchester
TXN_000067,Melissa Young,Jessica Anderson,352203.73,2025-07-08 07:44:59,Card,Port Christinabury
TXN_000068,William Allen,Andre Cunningham,34736.82,2025-07-20 06:17:52,Wallet,West Jon
TXN_000069,Travis Baker,Robert Murray,300361.15,2025-08-01 01:50:23,Wallet,West Joseph
TXN_000070,Belinda Johnson,Darren Jordan,281280.71,2025-07-16 19:01:26,Wallet,Raymondmouth
TXN_000071,Kelsey Jones,Jason Shaffer,497778.24,2025-07-13 01:37:20,Card,Michaelshire
TXN_000072,Mary Singh,Ashley Robertson,104676.25,2025-07-08 19:40:42,Wallet,North Amyshire
TXN_000073,Harold Smith,Terry Gonzalez,158295.7,2025-07-18 09:22:30,Net Banking,Wallacechester
TXN_000074,Emily Palmer,Dorothy Petty,164629.77,2025-07-16 10:45:52,Card,Barneshaven
TXN_000075,Matthew Lee,Willie Mcintyre,351001.94,2025-08-05 13:13:29,Wallet,Madisonhaven
TXN_000076,Jason Chandler,James Wu,19600.73,2025-07-23 12:05:37,Net Banking,Rogersport
TXN_000077,Daniel Manning,Rodney Long,184424.81,2025-07-17 11:51:18,Net Banking,North Adamshire
TXN_000078,Nicholas Cantu,Laurie Goodman,376305.73,2025-08-03 23:38:06,UPI,South Allentown
TXN_000079,Austin Hawkins,Christopher Robinson,243081.67,2025-07-10 12:58:45,Net Banking,East Erik
TXN_000080,Tariq-Caroline Weaver,Amanda Mckinney,230231.77,2025-08-05 16:31:13,Net Banking,Lake Jenniferton
TXN_000081,Autumn Briggs,Lindsey Morales,450372.76,2025-07-25 14:21:54,Card,Medinaton
TXN_000082,Kelly Nelson,Kelly Stephens,449111.97,2025-07-15 09:41:42,UPI,South Michael
TXN_000083,Robert Smith,Duane Wright,209744.33,2025-08-04 15:08:55,Card,Jasonchester
TXN_000084,Mary Morris,Isaac Woods,251433.13,2025-07-12 18:22:14,Wallet,Olsonport
TXN_000085,Catherine Wood MD,Eric Lam,451586.64,2025-07-24 20:12:32,Wallet,Lisaside
TXN_000086,Kristen Mayer,Jonathan Paul,3871.84,2025-07-28 01:15:58,Wallet,Lake Walter
TXN_000087,Dr. Stephanie Garner,Alexander Quinn Jr.,90520.0,2025-07-24 10:48:42,Wallet,East Tonya
TXN_000088,Dustin Gonzalez,Diana Gallagher,454602.81,2025-07-18 11:26:22,Net Banking,Lake Jamesport
TXN_000089,Bryan Hopkins,Christopher Tran,122259.19,2025-07-21 10:37:26,Net Banking,Calebstad
TXN_000090,Rhonda Lowe,Raymond Oliver,266795.36,2025-08-02 17:20:28,UPI,Deniseport
TXN_000091,Valerie Kim,John Walters Jr.,426516.53,2025-07-22 12:13:48,Net Banking,Ramoshaven
TXN_000092,Mathew Mcdonald,Michael Horton,216720.09,2025-07-10 03:45:22,Net Banking,Lake Melissa
TXN_000093,Michael Mckay,Nicholas Branch,490317.46,2025-07-14 21:25:05,Net Banking,Lake Elizabeth
TXN_000094,Evan Calhoun,Oscar Barton DDS,466801.34,2025-07-14 16:03:47,Net Banking,South Kaitlyn
TXN_000095,Sonya Moyer,Stephanie Jones,451961.15,2025-07-16 22:03:06,Wallet,West Kathrynbury
TXN_000096,Mark Padilla,Alejandro Diaz,488182.3,2025-07-23 07:46:49,Net Banking,New Shelly
TXN_000097,Terry Hansen,Jeanette Hughes,330530.76,2025-08-02 23:08:33,Card,West Tracyfurt
TXN_000098,Douglas Bowman,Michael Matthews,7031.43,2025-08-03 07:42:08,Net Banking,Gibbsmouth
TXN_000099,Sara Jones,Natasha Robertson,336836.8,2025-07-11 11:33:18,Card,East Elizabethstad
TXN_000100,Elizabeth Stone,Katrina Smith,85224.52,2025-08-03 03:29:05,Wallet,East Jonathan
