id,name,aliases,entity_type,risk_category,risk_score,country,date_of_birth,passport_number,national_id,address,phone_number,email,designation,sanctions_list,list_date,status,notes,last_updated
WL_000017,MV Nancy Arnold,,Vessel,Money Laundering,0.92,Iran,,,,"934 Jeremy Glen Suite 321, Jamestown, LA 81717",,,,ED,2016-02-06,Inactive,"Shoulder which member machine economy. Piece good happen well word research. Sister box staff practice form site land.
We fight bank wear moment just. Evening seven war though.",2024-09-05
WL_000018,Carr PLC Cartel,Harrison Group,Organization,Tax Evasion,1.0,Venezuela,,,,"243 Baxter Crest, Port Albert, NV 14667",+1-700-603-9603x3422,fwalker@example.org,,EU,2024-06-25,Active,,2025-01-10
WL_000019,Bradley Hogan,,Individual,Human Trafficking,0.67,Libya,1969-05-02,,,"USS Herrera, FPO AP 95348",+1-255-859-3478x184,,"Research officer, government",SEBI,2022-05-12,Inactive,,2024-10-05
WL_000020,Jason Lee,Emily Reid; Alan Garcia; Justin Morris,Individual,Terrorism Financing,0.96,India,1997-06-30,,638-63-1833,"4085 Thomas Courts Suite 265, Melissashire, AR 66876",,,,RBI,2016-02-17,Under Review,"Ask give plan move this.
Mind main choose difference. Require sport including student sell same. There officer question employee season really certainly.",2024-12-24
WL_000021,Sanders-Johnson 761,,Aircraft,Money Laundering,0.79,Russia,,,,"0635 Lisa Forest Apt. 985, Carterborough, IA 04061",001-873-741-2912x64802,,,UN,2025-01-27,Active,,2024-12-18
WL_000022,MV Jared Whitehead,,Vessel,Fraud,0.7,Yemen,,,,"9334 Bates Springs, East Vanessastad, FM 01782",,,,RBI,2022-03-12,Inactive,"Including partner may nice customer. Owner cell lose not.
Difficult ability range sea staff fall computer.",2024-08-12
WL_000023,Sweeney-Snyder Association,,Organization,Fraud,0.71,Venezuela,,,,,(282)292-9550,,,SEBI,2022-02-19,Under Review,,2024-10-26
WL_000024,Duarte Ltd Gang,,Organization,Sanctions Violation,0.66,China,,,,,,mooneyjoshua@example.net,,SEBI,2020-05-28,Active,,2024-10-16
WL_000025,Brandon Garcia,Pamela Pham; Alexander Schwartz; Renee Campbell,Individual,Politically Exposed Person (PEP),0.67,China,1968-02-22,260162245,335-15-1722,,,,,EU,2022-05-10,Under Review,,2025-08-05
WL_000026,Abu-Mark Smith,,Individual,Drug Trafficking,0.87,Afghanistan,1993-06-06,,,,,sarah04@example.net,Ophthalmologist,UN,2017-02-17,Active,Official collection about its drug anything none energy. Red PM its to skill statement project. Ok reveal still civil country film back approach.,2025-06-05
WL_000027,Edward Wright,Shelley Thompson,Individual,Tax Evasion,0.64,Sudan,1973-01-21,,,"2583 Williams Lakes, East Jeffreyberg, AR 01092",+1-678-301-6942x516,chavezdiana@example.net,,OFAC,2020-10-01,Active,,2025-07-31
WL_000028,Foster-Wright,George-Brooks,Organization,Terrorism Financing,0.61,Nicaragua,,,,"USNV Garcia, FPO AA 44948",001-841-255-0042,,,EU,2024-05-25,Inactive,,2024-12-23
WL_000029,Miles Ltd,,Organization,Organized Crime,0.71,Afghanistan,,,,,9044274787,morrisonjonathan@example.net,,FATF,2020-06-13,Active,,2024-10-01
WL_000030,MV Samantha Ramirez,,Vessel,Human Trafficking,0.79,Belarus,,,,"112 Davies Lodge Apt. 069, New Laurenmouth, ID 12609",(501)877-8129,,,RBI,2024-10-01,Inactive,,2025-08-02
WL_000031,Green-Johnson 231,,Aircraft,Drug Trafficking,0.8,Pakistan,,,,"01994 Alexander Orchard, Jacksonbury, NY 03940",(890)964-4550,sarahjones@example.net,,OFAC,2018-03-07,Under Review,,2024-10-16
WL_000032,Parker LLC 563,,Aircraft,Fraud,0.92,Sudan,,,,"649 Henry Bridge, North Victorchester, SC 44404",+1-438-310-8411,,,EU,2016-11-30,Inactive,,2024-09-29
WL_000033,"Lopez, Anderson and Young",,Organization,Sanctions Violation,0.82,Pakistan,,,,"645 Alejandro Forges Apt. 928, Ramseyburgh, DC 69211",670.657.6901,,,ED,2024-07-26,Under Review,,2024-12-27
WL_000034,Chavez PLC Gang,"Miller, Sutton and King",Organization,Fraud,0.61,Myanmar,,,,"74990 Jonathan Falls, Ashleychester, KS 22800",316.808.7830,,,SEBI,2016-04-21,Inactive,"Bar paper bad laugh. Over responsibility fish one. Ball up hold whose born worker will.
Subject sound speak thank system. Daughter next customer prevent medical car.",2024-08-13
WL_000035,MV Michael Barrera,,Vessel,Politically Exposed Person (PEP),0.92,Yemen,,,,"6735 Melinda Branch, Graceberg, SD 53661",(572)658-3254x221,,,OFAC,2018-11-30,Under Review,,2025-03-27
WL_000036,Eaton Group,,Organization,Drug Trafficking,0.73,Mali,,,,"29370 Donna Flats, Port Donald, AL 53182",,nina93@example.com,,EU,2021-08-15,Inactive,"Beautiful war stay any. Girl them must heavy. Director almost wall sign something people.
Trial analysis music over together field American. Draw you quickly trouble.",2024-10-13
WL_000037,Webb-Figueroa 114,,Aircraft,Corruption,0.76,Syria,,,,,(483)843-1765x125,,,RBI,2018-01-16,Inactive,"Seven power meet need speech again final. Rich line dinner there meeting top.
Fish write past establish them. Number order serious. Stuff agree then side.",2025-02-19
WL_000038,"Johnston, Campbell and Estrada 215",,Aircraft,Human Trafficking,0.88,India,,,,,,,,OFAC,2019-07-06,Inactive,,2025-04-13
WL_000039,Anderson-Taylor,,Organization,Drug Trafficking,0.77,Nicaragua,,,,"7076 Martinez Meadow Apt. 311, South Sheila, VI 52253",,dlarson@example.net,,ED,2022-01-06,Under Review,"Evening place service if. Learn eight member thought everybody. In receive herself.
Law site especially foot. Everyone factor true student. Debate environmental action bring.",2025-02-01
WL_000040,Kent LLC 621,,Aircraft,Drug Trafficking,1.0,Somalia,,,,"45643 Simpson Roads Apt. 382, Hernandezhaven, IN 10562",001-836-567-8026x22033,,,RBI,2022-04-26,Active,"Increase bit bank someone gas hand.
Friend opportunity range all teach word board. Approach Congress break eight. Company course Mr property exactly. Heart social white.",2025-04-16
WL_000041,MV Bryan Ross,,Vessel,Fraud,0.73,Sudan,,,,,,,,SEBI,2023-01-03,Under Review,,2024-12-08
WL_000042,Omar-Justin Williams,Amanda Knight,Individual,Terrorism Financing,0.72,Iraq,1961-05-12,,432-40-9622,"915 Myers Island, New Graceshire, FL 59894",,,,ED,2023-04-25,Under Review,Her industry plan condition fly. Pick clear most hope anyone. Third decade newspaper ability Republican test ok still.,2024-10-11
WL_000043,Ortiz-Turner 799,,Aircraft,Tax Evasion,0.83,Myanmar,,,,"22806 Williams Neck Apt. 052, West Amy, MA 74626",+1-270-791-2474x425,,,FATF,2024-03-17,Inactive,"Become exist community like. International box happen crime television. East during people anything far.
Receive phone once spring lead him. According agree poor myself class.",2025-05-20
WL_000044,"Padilla, Wall and Walker","Harmon, Williams and Bryant",Organization,Drug Trafficking,0.84,India,,,,"19780 Smith Unions Apt. 661, Lake Cliffordhaven, AR 52122",,simpsoncharles@example.com,,RBI,2015-12-20,Under Review,"Fill conference part finally think edge behavior. Tree pretty language represent friend. Carry identify strong personal situation people life.
Speech cup avoid hand rule. Money sound side wall know.",2024-12-07
WL_000045,Davis-Glenn Council,,Organization,Drug Trafficking,0.85,Yemen,,,,,841-872-6497x458,,,SEBI,2019-08-03,Under Review,Film industry manage state water research. Happy only figure wonder fall involve us. Want candidate economy way system sister letter.,2025-04-29
WL_000046,Rodriguez-Jones 204,,Aircraft,Tax Evasion,0.63,Belarus,,,,,(587)529-1687x28177,jenniferrobinson@example.net,,UN,2022-09-02,Inactive,"Scientist either head issue care such. Bed age model agency action reduce research.
New foreign score reflect mind. Company from nation economy condition. Girl investment sign side since.",2024-12-19
WL_000047,MV Lauren Garcia,,Vessel,Money Laundering,0.92,Syria,,,,,429-526-8321x32159,,,OFAC,2021-03-12,Active,,2024-10-17
WL_000048,Madden-Martin 695,,Aircraft,Tax Evasion,0.76,Iraq,,,,"288 Garrett Union Apt. 219, North Yvetteland, GU 77823",,,,UN,2018-04-11,Under Review,Choose general street home place successful consumer age. As response determine personal feeling among practice civil. System PM commercial executive room.,2025-02-11
WL_000049,MV Lori Graham,,Vessel,Politically Exposed Person (PEP),0.65,Afghanistan,,,,"20369 Cody Street, Mirandaborough, WY 81661",,snyderdylan@example.com,,UN,2016-01-16,Active,"Education special seat. Ever since stop only day number.
Theory whose particular drug nature miss. Enjoy professional business summer.",2025-02-11
WL_000050,Luke Copeland,,Individual,Money Laundering,0.86,Mali,1951-11-10,,300-12-3834,"49739 Carr Road, Christopherview, WY 09390",,,,RBI,2023-04-03,Under Review,Section share be character long. Understand attorney hot top back need. Billion decision stuff wall management city idea town.,2025-05-19
WL_000051,Kennedy LLC 860,,Aircraft,Politically Exposed Person (PEP),0.88,Syria,,,,"448 Kendra Pass Suite 320, Pearsonside, MA 67306",,gthomas@example.org,,RBI,2019-03-06,Under Review,,2024-08-11
WL_000052,Parsons Inc,,Organization,Organized Crime,0.95,China,,,,"88762 Jackson Keys, Alexandrabury, IA 54612",001-912-540-1953x7095,,,RBI,2023-11-14,Under Review,,2025-02-01
WL_000053,MV Brittany Williams,,Vessel,Fraud,0.6,Sudan,,,,"USNS Davies, FPO AA 52462",,johnsonjoseph@example.org,,SEBI,2020-05-12,Inactive,,2025-07-27
WL_000054,Martinez and Sons 913,,Aircraft,Tax Evasion,0.61,China,,,,"PSC 6370, Box 4908, APO AP 64702",,,,UN,2021-01-03,Inactive,,2024-11-02
WL_000055,MV Chelsea Owens,,Vessel,Human Trafficking,0.61,Myanmar,,,,"2903 Kelley Point, South Denise, PW 05929",,,,FATF,2017-12-31,Active,"Soldier instead follow chance executive prepare.
Song last know hotel loss. Couple network glass yeah range police.",2025-04-06
WL_000056,Cory Garcia,,Individual,Fraud,0.82,North Korea,1959-03-08,,429-29-6086,,,kellerchristopher@example.net,,SEBI,2022-01-21,Inactive,"Wind address development design relationship. Analysis answer item.
Sit indeed according center research explain air participant. Fill large subject.",2024-09-29
WL_000057,Harrington-Bates,,Organization,Terrorism Financing,0.92,Russia,,,,,,,,EU,2018-08-27,Under Review,,2025-06-28
WL_000058,Matthew Cervantes,Samantha Howell; Tony Miller,Individual,Money Laundering,0.7,China,1949-06-06,288990516,,,,hvega@example.org,,OFAC,2016-10-23,Active,,2025-01-10
WL_000059,"Gonzales, Livingston and Mcguire",,Organization,Politically Exposed Person (PEP),0.73,Iraq,,,,"48733 Ward Mission Apt. 157, New Jacobton, WI 19264",227.389.7367x449,,,EU,2025-07-31,Active,,2024-10-02
WL_000060,Spencer PLC 651,,Aircraft,Fraud,0.84,Libya,,,,,001-562-244-0252x2805,,,UN,2024-07-16,Under Review,,2024-09-13
WL_000061,Timothy Williams,,Individual,Corruption,0.79,Russia,1957-12-17,112829560,,"USS Sanders, FPO AA 43645",,,Recycling officer,EU,2015-08-28,Active,"Movement physical ok rock know conference. Big moment east believe growth teacher dinner room. Improve expert here improve work itself.
What bill he into. Them seek popular end.",2025-01-28
WL_000062,"Mcdaniel, Boyer and Edwards 908",,Aircraft,Human Trafficking,0.99,Afghanistan,,,,,,,,ED,2024-06-14,Inactive,,2025-01-19
WL_000063,"Kirby, Davis and Garcia",,Organization,Money Laundering,0.67,Belarus,,,,"0375 Rivera Ports, Stacyside, MO 93810",+1-930-823-3540,,,EU,2019-09-25,Under Review,Red this generation notice six think. Rather experience father model show stuff. Plan mission civil attack blue better.,2025-02-08
WL_000064,MV Andrew Welch,,Vessel,Human Trafficking,0.68,Belarus,,,,,,,,EU,2021-02-10,Under Review,,2024-09-12
WL_000065,Martinez PLC Organization,,Organization,Fraud,0.95,Mali,,,,"190 Ryan Ports Apt. 634, Laurenside, FL 58059",,zharris@example.com,,UN,2025-02-27,Under Review,West executive art effect tell present. Six significant fact collection look.,2025-08-01
WL_000066,Christopher Horton,,Individual,Terrorism Financing,0.92,Pakistan,1946-01-16,643296058,487-38-4408,,3284946281,,Comptroller,OFAC,2025-02-28,Active,,2024-08-06
WL_000067,Joshua Potter,,Individual,Sanctions Violation,0.9,Yemen,1983-11-15,C28020048,616-54-6850,"6595 Douglas Glens Suite 375, New Christy, MS 36197",,,,EU,2021-01-04,Inactive,,2025-03-15
WL_000068,Walls PLC 605,,Aircraft,Human Trafficking,0.6,India,,,,,218-871-3795x8289,davidsmith@example.com,,ED,2016-05-29,Active,"Nothing north man attention. Book ok one station bar room exactly spring.
Then per end medical great never. Time site become significant begin send boy.",2025-07-16
WL_000069,Claudia Ayala,,Individual,Drug Trafficking,0.77,Venezuela,1989-08-11,,,"PSC 0855, Box 0792, APO AE 72172",,,,FATF,2020-12-12,Active,,2024-10-16
WL_000070,Maria Jackson,Dawn Powell,Individual,Drug Trafficking,0.66,Yemen,1983-11-12,,,"USCGC Mayer, FPO AA 79228",212-650-6208x3658,,,UN,2015-12-19,Active,,2025-03-04
WL_000071,Johnson Ltd Syndicate,Rodriguez-Jones,Organization,Sanctions Violation,0.87,Russia,,,,"9108 Williams Shoals Apt. 007, North Amandaton, UT 93290",851.404.1639x8221,michael58@example.com,,EU,2016-01-13,Under Review,,2025-01-23
WL_000072,MV Jamie Becker,,Vessel,Politically Exposed Person (PEP),0.69,Mali,,,,,731-887-1933x189,,,EU,2021-02-23,Active,,2025-05-23
WL_000073,MV Andrew Brown,,Vessel,Sanctions Violation,0.83,Sudan,,,,,,ryan08@example.org,,ED,2016-05-15,Active,"Picture center country never. Meet early air college. Key know during order sell.
Suddenly determine summer feeling degree. Issue all cover. Theory build many need beautiful.",2024-09-16
WL_000074,John Vaughn,,Individual,Tax Evasion,0.92,Russia,1993-10-08,M03741861,052-14-9436,,,,,RBI,2024-12-31,Active,,2025-06-12
WL_000075,"Andrews, Watkins and Jones 790",,Aircraft,Drug Trafficking,0.97,Russia,,,,"Unit 2314 Box 2602, DPO AE 55189",464-841-0803x7844,,,ED,2024-01-08,Inactive,"Give party message.
During hope trouble goal heart imagine head. Process plant so can. Picture dream card special attack hundred theory.
Style office thousand sea cultural accept lay accept.",2025-07-02
WL_000076,Wilson-Lucero,"Black, Lynch and Freeman",Organization,Money Laundering,0.9,Mali,,,,"03003 Melanie Glens Apt. 616, Gomezland, LA 23455",404-450-8336x8946,,,FATF,2020-03-02,Under Review,,2025-06-22
WL_000077,Larson-Bray 870,,Aircraft,Corruption,0.97,Mali,,,,"414 Kyle Creek Suite 386, Sellershaven, NJ 37417",,,,UN,2018-11-02,Active,,2025-06-06
WL_000078,Clark-Marsh 644,,Aircraft,Politically Exposed Person (PEP),0.93,Somalia,,,,,724.296.2397x4964,,,EU,2018-08-09,Active,,2025-03-13
WL_000079,Kyle Padilla,,Individual,Corruption,0.98,Belarus,1995-12-25,C57724605,,,001-853-784-0664,davisjustin@example.com,,ED,2020-08-10,Under Review,,2024-10-06
WL_000080,Jones-Navarro 109,,Aircraft,Money Laundering,0.67,Nicaragua,,,,"5794 Bass Unions Suite 407, Port Amy, WI 16306",,,,OFAC,2023-06-06,Active,Represent east realize. Term prepare dark wonder assume argue.,2024-12-25
WL_000081,Omar-Anne Pace,Jeffrey Hess; Linda Sims,Individual,Human Trafficking,0.61,Afghanistan,1990-04-29,282903487,,"052 Gonzalez Ranch Apt. 161, Lake Rachelland, TN 36042",(992)837-5866x6893,,,ED,2024-01-17,Inactive,,2024-12-09
WL_000082,MV Kurt Mcdonald,,Vessel,Tax Evasion,0.62,China,,,,"853 Brown Loaf, Whiteheadton, MA 96932",001-422-406-4289x5859,,,OFAC,2018-12-19,Under Review,"Administration player north edge produce. West trouble use series certain.
Evening collection nature house box difference. Answer person reduce give end around decade there.",2025-02-21
WL_000083,Morales Ltd,,Organization,Fraud,0.96,Libya,,,,"0287 Jennings Run, North Darrylfurt, ME 60874",,delgadochris@example.net,,OFAC,2020-06-12,Under Review,,2024-08-23
WL_000084,Cynthia Turner,,Individual,Fraud,0.98,Afghanistan,2000-05-16,,421-01-0980,"7293 Taylor Causeway Suite 110, Kaylatown, SD 38447",,,,UN,2023-10-07,Under Review,,2024-10-15
WL_000085,Farid-Stephanie Garza,,Individual,Corruption,0.64,Sudan,1969-08-17,M54747046,,,,,,ED,2023-06-10,Active,"Despite think financial protect country red nice. Positive with break. Certain worker increase seven walk.
Prevent clearly city performance car whose others. Military remain knowledge discuss.",2025-06-03
WL_000086,David Joseph,,Individual,Corruption,0.64,North Korea,1985-04-05,A75264034,,"01720 Jacqueline Trace Apt. 828, Annaview, AL 93560",(243)892-0942x03176,,Radio broadcast assistant,RBI,2023-01-11,Under Review,Factor choice operation wife. Couple hear trial could. Actually difference campaign send.,2024-08-05
WL_000087,MV Mathew Anderson,,Vessel,Drug Trafficking,0.91,India,,,,,678.532.6990,marysullivan@example.org,,SEBI,2020-09-10,Active,,2025-05-03
WL_000088,Vanessa Spencer,,Individual,Money Laundering,0.85,Iran,1969-05-16,975833689,,"40142 Buckley Burg, New Margaret, IA 04658",904.304.6357x3266,michaelwood@example.net,,SEBI,2021-08-23,Inactive,Quality ask get production federal yes. Benefit you development back never. Idea southern suggest local firm night. Guess position military tough camera.,2025-05-14
WL_000089,White Inc 692,,Aircraft,Sanctions Violation,0.83,Mali,,,,,,wolfadam@example.com,,RBI,2023-01-02,Inactive,"Card on network. Democratic year authority team just. Capital chance record sell.
Line set throw heavy item. Treatment approach general direction growth.",2024-12-21
WL_000090,Benjamin Klein,James Nguyen,Individual,Politically Exposed Person (PEP),0.73,North Korea,1999-06-24,,,,001-683-895-8719,cheryl97@example.net,,OFAC,2023-08-21,Active,"Indicate Mr born ahead order. Fight music rule. Item protect method state kid black.
Never expect sell even imagine red maybe. Early tell new.",2024-09-27
WL_000091,Ibn-Mary Smith,,Individual,Fraud,0.82,Russia,1992-01-13,,494-72-4725,"6376 William Plaza Suite 435, Meghanfurt, MA 79952",,,,EU,2019-06-20,Active,Voice use especially easy. During by whole money natural wide office past. Gun own individual ability.,2025-04-07
WL_000092,MV Sheila Chavez,,Vessel,Sanctions Violation,0.66,Sudan,,,,"18187 Velazquez Drives, Michaelborough, MO 17742",,,,FATF,2025-01-03,Under Review,,2024-11-11
WL_000093,Welch LLC Association,Davis-Mullins,Organization,Drug Trafficking,0.7,Afghanistan,,,,"0661 Juan Ford Suite 036, East Brandi, IN 66041",341-533-0827,,,ED,2022-01-29,Under Review,,2025-05-20
WL_000094,Singleton-Vazquez,Phillips-Heath,Organization,Drug Trafficking,0.88,Somalia,,,,,,masseywilliam@example.com,,SEBI,2021-04-09,Inactive,,2024-12-25
WL_000095,Ahmed-Alexis Alexander,,Individual,Tax Evasion,0.65,China,1965-01-08,P69409278,621-31-6990,"291 Evan Lane Suite 315, West Deniseside, NY 04963",7919411358,,,SEBI,2019-01-28,Under Review,,2025-03-04
WL_000096,Elliott and Sons,Huffman Inc,Organization,Tax Evasion,0.97,Belarus,,,,"8922 Huynh Meadows Apt. 627, East Susanmouth, ID 17159",8799702637,,,SEBI,2019-01-14,Inactive,"Understand since different talk meet. Green maintain evening. May involve season tell.
East radio support should go bed. Side above government job or them.",2025-05-23
WL_000097,Lawson and Sons Holdings,Davis-Hogan,Organization,Terrorism Financing,0.68,Syria,,,,,675-238-2919,,,RBI,2019-08-05,Inactive,"Part million recognize modern. Save physical simply shoulder authority performance.
Two when out wish. Fall authority consumer attack.",2024-09-07
WL_000098,Navarro Group 520,,Aircraft,Sanctions Violation,0.7,Venezuela,,,,"50079 Justin Roads Suite 381, Katherineshire, OR 69382",,,,EU,2022-09-08,Active,"Ground remain piece hot. Soldier forward machine thing head century military.
Step computer level itself firm weight bar. Kitchen western personal morning.",2024-10-10
WL_000099,Kelly Brewer,,Individual,Human Trafficking,0.74,Myanmar,2000-04-27,P11810807,,"Unit 4845 Box 5561, DPO AA 55285",850.615.5688,,,FATF,2016-02-13,Inactive,"Market character than. Television language fill radio picture.
Chance to between various word stuff. Least base hold provide. Bar sea clear step positive.",2025-01-22
WL_000100,Dennis Nelson,,Individual,Sanctions Violation,0.93,Iraq,1957-06-25,703266412,464-05-1940,,807-940-9861x704,,Human resources officer,FATF,2024-06-24,Active,,2024-08-25
WL_000101,Austin Davis,Steven Cunningham MD; Sharon Hatfield; Jonathan Richardson,Individual,Human Trafficking,0.8,Somalia,1965-11-17,,311-64-2607,"5996 Hartman Lodge Apt. 626, Janetchester, GA 47350",335.916.7980x915,msmith@example.org,,FATF,2023-07-18,Inactive,,2025-04-17
WL_000102,Hassan-Justin Adams,,Individual,Corruption,0.88,Mali,1966-10-27,,457-14-8951,,,michael17@example.org,,RBI,2020-03-18,Inactive,"Put determine far election. Someone care blue house until onto.
Lose quickly go plan. Unit coach record ability already than. Our fine arm mean take standard take.",2024-09-22
WL_000103,Belinda Johnson,Rebecca Sanchez; Susan Chandler,Individual,Drug Trafficking,0.65,Iraq,2000-02-28,,,,,jonathanhoward@example.org,Professor Emeritus,FATF,2021-12-21,Under Review,,2025-06-23
WL_000104,Kelly-Tucker 318,,Aircraft,Politically Exposed Person (PEP),0.7,Venezuela,,,,,(274)292-8967x4822,gpeterson@example.com,,OFAC,2018-03-07,Under Review,,2025-02-10
WL_000105,Cory Tucker,,Individual,Fraud,0.75,Iraq,1989-04-15,N39992969,,"172 Deborah Ford Suite 539, Juanfort, ID 10289",,ghogan@example.com,"Administrator, sports",OFAC,2015-11-30,Active,,2024-10-12
WL_000106,"Patterson, Strickland and Smith",,Organization,Corruption,0.71,China,,,,,001-552-727-6690x87074,,,UN,2020-03-20,Inactive,"Wall range suffer beautiful.
Once guess down. Set matter way job. Fly dark could.
Message leader go film effort rather while. If around art record. Kid wrong bank TV set factor together.",2024-09-23
WL_000107,MV Angela House,,Vessel,Politically Exposed Person (PEP),0.62,Venezuela,,,,,(778)953-2303x26616,carol12@example.net,,FATF,2015-09-12,Active,Thought model treatment win put difference. Nation trial drug produce challenge claim. Black inside issue manager all character second. Put trouble western left.,2024-11-01
WL_000108,Dillon Ward,,Individual,Tax Evasion,1.0,North Korea,1952-04-02,,,"8233 Kim Heights Suite 189, Lake Ericside, AK 86717",740.822.6827,omendoza@example.org,Public relations officer,EU,2024-05-01,Active,,2024-09-01
WL_000109,Wendy Singleton,,Individual,Tax Evasion,0.6,Cuba,1967-09-10,819451628,,"0800 Ramirez Circle, New Deniseshire, VA 33568",,,,FATF,2017-10-24,Under Review,,2025-01-02
WL_000110,MV Stacy Coleman,,Vessel,Fraud,0.98,Sudan,,,,"394 Garcia Trace Apt. 779, Danielburgh, MH 92413",,,,UN,2016-11-30,Under Review,,2025-07-04
WL_000111,MV Christopher Carter,,Vessel,Tax Evasion,0.75,Libya,,,,,,,,RBI,2024-05-01,Active,,2025-04-29
WL_000112,MV Karen Huerta,,Vessel,Politically Exposed Person (PEP),0.91,Yemen,,,,"USS Bernard, FPO AE 41192",001-408-712-7314,,,SEBI,2020-08-12,Active,,2024-12-06
WL_000113,"Rodriguez, Harris and Moreno Organization",,Organization,Terrorism Financing,0.98,Syria,,,,"8023 Browning View Apt. 531, North Catherinefurt, FL 26308",9952007525,,,FATF,2016-11-08,Under Review,,2025-05-14
WL_000114,Kimberly Brown,Erica Morris; Joseph Clarke,Individual,Politically Exposed Person (PEP),0.82,Myanmar,1945-02-07,,,"371 Brenda Turnpike, Krystalburgh, NJ 42624",001-814-378-4454,,General practice doctor,FATF,2019-06-03,Inactive,Environmental culture bring I design recently collection. Major small word institution push thus reflect natural. Policy tend wife music must food analysis. Do TV particular hotel marriage letter.,2024-11-06
WL_000115,MV Brandon Potter,,Vessel,Human Trafficking,0.66,China,,,,,425.296.8672x856,,,OFAC,2024-06-06,Active,,2025-03-25
WL_000116,"James, Wallace and Moore 833",,Aircraft,Sanctions Violation,0.61,Venezuela,,,,"77728 Lam Curve, Angelafort, AL 81160",+1-474-620-7629x030,,,SEBI,2022-01-01,Under Review,,2024-12-21
WL_000117,Miller-Thompson 262,,Aircraft,Corruption,0.8,Yemen,,,,,,,,ED,2018-09-01,Active,,2024-08-12
WL_000118,Christina White,,Individual,Fraud,0.84,North Korea,1945-12-23,M60695811,607-97-6545,"320 Perry Flats Apt. 064, New Kaitlyntown, SD 70152",,,,FATF,2024-01-04,Active,Have detail learn baby arrive want. Lay career ten organization. Here sound wear short last.,2024-09-18
